blazes,estimated_probability,count,frequency
318,9.405310777714976e-10,1,9.793602664000953e-9
322,4.261476169359195e-9,1,9.793602664000953e-9
324,8.75511793754492e-9,2,1.9587205328001906e-8
325,1.2441483384933827e-8,2,1.9587205328001906e-8
327,2.470343262057269e-8,1,9.793602664000953e-9
328,3.452146353387288e-8,4,3.917441065600381e-8
329,4.79789832165754e-8,6,5.876161598400571e-8
330,6.632388856408762e-8,14,1.3711043729601333e-7
331,9.11953467756169e-8,9,8.814242397600857e-8
332,1.247341313335786e-7,16,1.5669764262401525e-7
333,1.697202114866742e-7,22,2.1545925860802096e-7
334,2.2974321311006314e-7,20,1.9587205328001906e-7
335,3.0941223055950577e-7,27,2.644272719280257e-7
336,4.14612388949712e-7,44,4.309185172160419e-7
337,5.528165185996507e-7,70,6.855521864800667e-7
338,7.334612864885716e-7,67,6.561713784880638e-7
339,9.683981048169148e-7,106,1.0381218823841009e-6
340,1.2724300679567235e-6,126,1.23399393566412e-6
341,1.6639470119437557e-6,175,1.7138804662001667e-6
342,2.1656714926441336e-6,211,2.066450162104201e-6
343,2.8055289791070754e-6,308,3.0164296205122935e-6
344,3.617655788849755e-6,395,3.868473052280376e-6
345,4.643558176731626e-6,480,4.700929278720457e-6
346,5.933435448044677e-6,579,5.670495942456552e-6
347,7.5476789155286e-6,726,7.110155534064691e-6
348,9.558556874774504e-6,972,9.519381789408925e-6
349,0.000012052093450804442,1207,0.00001182087841544915
350,0.000015130146094712134,1516,0.000014847101638625444
351,0.00001891268261838585,1910,0.00001870578108824182
352,0.000023540253897358858,2389,0.000023396916764298276
353,0.000029176652717854304,2994,0.00002932204637601885
354,0.00003601174269021263,3635,0.000035599745683643463
355,0.00004426443372339145,4461,0.00004368926148410825
356,0.00005418577231655637,5523,0.00005409006751327726
357,0.00006606210597499751,6709,0.0000657052802727824
358,0.00008021827154106662,8134,0.00007966116406898375
359,0.00009702074733681423,9822,0.00009619276536581736
360,0.00011688069897290648,11894,0.00011648511008562733
361,0.00014025683876747337,14095,0.00013804082954909343
362,0.00016765800925514494,17158,0.00016803863450892836
363,0.0001996453925999172,20585,0.0002016013108384596
364,0.00023683424024106177,24317,0.00023815103598051116
365,0.0002798950111939337,28360,0.000277746571551067
366,0.0003295538035024847,33768,0.00033071037475798415
367,0.00038659196180097777,39221,0.00038411489008478134
368,0.00045184474516236944,46295,0.0004533948353299241
369,0.0005261989437335415,53522,0.000524173201782659
370,0.0006105893403699713,62368,0.0006108074109484114
371,0.0007059939248027134,72197,0.0007070687315328767
372,0.000813427782924889,82570,0.0008086577719665587
373,0.0009339356026174477,95412,0.0009344272173776589
374,0.0010685827600500856,109089,0.0010683743210132
375,0.001218444976398296,124200,0.0012163654508689182
376,0.0013845965640894573,140734,0.00137829287731551
377,0.0015680973135464395,160442,0.0015713051986176408
378,0.0017699781054112665,180767,0.0017703601727634601
379,0.001991225368587428,203730,0.001995250670736914
380,0.0022327645405160928,227742,0.002230414657904905
381,0.0024954427217526924,254622,0.0024936666975132506
382,0.002780010751426928,283388,0.002775389471745902
383,0.0030871049623407473,315574,0.0030906063670894366
384,0.0034172289034007414,348407,0.00341215972335658
385,0.003770735341683663,385208,0.0037725740949944788
386,0.004147808875850751,423450,0.0041471010480712035
387,0.004548449505905015,464056,0.004544780077845626
388,0.004972457510692468,508168,0.004976795478560036
389,0.005419419983565233,554021,0.005425861541512472
390,0.005888699367614756,601812,0.005893907606427741
391,0.006379424314915023,651530,0.00638082594367654
392,0.006890483168874578,703287,0.006887713436757238
393,0.00742052033571122,758418,0.0074276445452262745
394,0.00796793577031406,813825,0.007970278688030576
395,0.008530887754085647,871520,0.008535320593730111
396,0.009107299088817876,930911,0.00911697244954779
397,0.009694866771970762,988762,0.00968354215726291
398,0.01029107515633729,1050738,0.010290510475967032
399,0.010893212532513555,1110945,0.010880153911558539
400,0.011498391006536988,1175780,0.01151512214027904
401,0.01210356948056815,1234973,0.012094834862769249
402,0.012705579480906528,1297024,0.01270253770167317
403,0.013301153519075605,1359424,0.01331365850790683
404,0.01388695561706295,1418294,0.013890207896736567
405,0.0144596135806582,1476244,0.014457747171115422
406,0.015015752564532636,1532614,0.015009812553285156
407,0.015552029441838288,1588437,0.015556520834797681
408,0.0160651674691079,1639383,0.016055465716117875
409,0.01655199072574444,1690616,0.016557221361402634
410,0.017009457806097347,1736536,0.017006943595733556
411,0.017434694251256218,1779006,0.017422877900873678
412,0.017825023227022733,1819271,0.01781721731213968
413,0.018177993984001824,1856390,0.01818074604942473
414,0.018491407673379402,1889839,0.018508332264932897
415,0.018763340139161692,1915788,0.018762466460461057
416,0.018992161360375893,1938192,0.018981882334545334
417,0.019176551276492943,1956711,0.01916325006227997
418,0.019315511792989924,1972002,0.019313004040615207
419,0.01940837483045243,1980244,0.0193937229137719
420,0.01945480634918942,1986045,0.019450535602825773
421,0.019454806349181675,1987661,0.019466362064730798
422,0.019408704912347176,1984798,0.019438322980303763
423,0.019317154417473604,1974364,0.019336136530107576
424,0.0191811181187597,1959717,0.019192689631887954
425,0.019001855332603207,1938922,0.018989031664490053
426,0.01878090352640582,1915908,0.018763641692780737
427,0.018520057644091308,1890724,0.01851699960329054
428,0.01822134703694146,1861374,0.01822955736510211
429,0.017887010394063495,1826190,0.0178849792489719
430,0.01751946908459528,1787753,0.017508542543375694
431,0.017121299332662338,1748448,0.017123604990667136
432,0.01669520364791795,1704504,0.016693234915200278
433,0.01624398192770807,1659618,0.016253639266023932
434,0.015770502633845475,1608412,0.0157521480480111
435,0.015277674426533577,1562442,0.015301936133546976
436,0.014768418612317443,1507383,0.014762710164469747
437,0.014245642732237301,1456558,0.0142649503090719
438,0.013712215581480381,1400885,0.013719711067958974
439,0.013170943913782642,1345805,0.013180279433225802
440,0.012624551044001663,1290852,0.012642091586030958
441,0.012075657520346202,1234820,0.012093336441561657
442,0.011526763996692252,1177490,0.011531869200834481
